Limit.yaml|name|string|The name of the LimitLimit.yaml|value|number|The value of the LimitInvestment.yaml|lastValueQuoteDate|string,null|The date for which the values were last quoted.Investment.yaml|currentInterestRate|number,null|The current interest rate for new money.Investment.yaml|netCashSurrenderValue|number,null|The net cash value if the insurance policy is surrendered.Investment.yaml|totalSurrenderValue|number,null|The total amount that would be received if the policy were to be surrendered.Investment.yaml|guaranteedInterestRate|number,null|The guaranteed interest rate.Investment.yaml|loanPayoffAmount|number,null|The amount needed to payoff the current loan.Investment.yaml|currentLoanInterestRate|number,null|The interest rate of the current loan on the policy.Investment.yaml|maximumLoanAmountAvailable|number,null|The maximum amount available for a loan on this policy.Investment.yaml|guranteedCashValue|number,null|the amount guaranteed as a cash value of the policy.Investment.yaml|totalCashValue|number,null|The total cash value of the policy.Investment.yaml|premiumRefund|number,null|The amount of unearned premium returned when a policy is terminated.
Investment.yaml|premiumDepositFund|number,null|unknownLiability.yaml|description|string|A description of this item.Liability.yaml|classification|string|Classification of this item.  E.g. 'Camera-Non Prof', 'Boat 2015'.Liability.yaml|sequence|string|If this item is tied to an additional interest on a policy, the sequence is used to tie this item to a PolicyAssociation.
Liability.yaml|detail|string|A detailed itemization of the item.  E.g. 'Nikon D500 Camera', 'Bass-Pro'.
Liability.yaml|itemSchedules|[object Object]|A generic schedule to list miscellaneous details for this item.
Liability.yaml|deductibles|array|null
Liability.yaml|limits|array|null
Liability.yaml|premium|number|The portion of the total premium which is attributable to this particular item.
Liability.yaml|locationId|string|The location Id for the liability. The location(s) are contained in the Policy model.
Liability.yaml|item|string|An arbitrary, system assigned item number within the location dicriminates this liability on a policy with multiple location/liabilities.
Liability.yaml|supplementalDocuments|array|Any documents attached to the policy which are required for it's issuance.
Billing.yaml|billingMode|string|The method used to present the bill to the member
Billing.yaml|paymentMode|string|The Mode of billing/payment, i.e. Monthly, Quarterly or Annually.
Membership.yaml|id|string|The member's unique membership numberMembership.yaml|membershipNumber|string|The database value of the membership idMembership.yaml|paidStatus|null|The member's paid statusMembership.yaml|membershipType|null|null
Membership.yaml|membershipTypeCode|string|null
Membership.yaml|membershipClass|null|voting - has a voting interest in an agricultural concern
associate - ordinary non-voting membership
Membership.yaml|membershipClassCode|string|null
Membership.yaml|membershipCode|string|Individual or business membershipMembership.yaml|longevityDate|string|The date the membership was purchasedMembership.yaml|termEffectiveDate|string|null
Membership.yaml|termExpirationDate|string|null
Membership.yaml|paidToDate|string|null
Membership.yaml|clientCounty|string|The county that is specifically associated with the Client and this membership.Membership.yaml|clientCountyCode|string|null
Membership.yaml|clientTownship|string|The township that is specifically associated with the Client and this membership.Membership.yaml|clientTownshipCode|string|null
Membership.yaml|overrideCounty|string|Use the Client's county by default unless this value overrides
Membership.yaml|overrideCountyCode|string|null
Membership.yaml|overrideTownship|string|Use the Client's township by default unless this value overrides
Membership.yaml|overrideTownshipCode|string|null
Membership.yaml|clientId|string|The Client id associated with the MembershipMembership.yaml|doNotRenew|boolean|Membership will not renew after term dateClientInterest.yaml|relationshipTypeCode|string|Code which descibes the relationship between the two objects being refererenced.

Either #.relationshipTypeCode or #.relationshipType MUST be specfied.
ClientInterest.yaml|relationshipType|string|null
ClientInterest.yaml|objectId|string|Links a client to another related object (policy, membership, billing account)ClientInterest.yaml|objectType|string|a description of the object associated with the clientClientInterest.yaml|clientId|string|null
ClientInterest.yaml|expirationDate|string|null
ClientInterest.yaml|effectiveDate|string|null
Acknowledgement.yaml|code|string,null|The code returned from the source system as a result of this transaction.
Acknowledgement.yaml|description|string,null|The textual message provided by the source system
Hash.yaml|name|string|null
Hash.yaml|value|string|null
Address.yaml|addressType|string|Future use.  If used, SHOULD be set to 'Mailing'.
Address.yaml|addressAggregate|string,null|The aggregate address for use when the individual components are not known.
Address.yaml|street1|string,null|First line of the postal address, e.g. 100 Main St.
Address.yaml|street2|string,null|Second line of the postal address, e.g. Unit 100.
Address.yaml|city|string,null|null
Address.yaml|state|string,null|For domestic addresses, use USPS two-digit state code.
Address.yaml|countyCode|string,null|Properties countyCode and county are mutually exclusive.  Use countyCode when the source system provides a two-character code.  If the source is the actual County name, then use the county property.
Address.yaml|county|string,null|Properties countyCode and county are mutually exclusive.  Use countyCode when the source system provides a two-character code.  If the source is the actual County name, then use the county property.
Address.yaml|townshipCode|string,null|Properties townshipCode and township are mutually exclusive.  Use townshipCode when the source system provides a two-character code.  If the source is the actual Township name, then use the township property.
Address.yaml|township|string,null|Properties townshipCode and township are mutually exclusive.  Use townshipCode when the source system provides a two-character code.  If the source is the actual Township name, then use the township property.
Address.yaml|postalCode|string,null|The USPS postal code, also known as the zip code.  Should be in the format ##### or #####-#### (zip plus four).
Address.yaml|country|string,null|The name of the country.
CoverageBenefit.yaml|description|string|The description of the benefit.
CoverageBenefit.yaml|ratingFactor|number|The rating that must be applied to the standard premium to arrive at the correct premium for this benefit.  Stored as a percentage (rate).
CoverageBenefit.yaml|premiumAmount|number|The amount of the premium for this benefit.
CoverageBenefit.yaml|faceAmount|number|The Face Amount which this benefit contributes to the overall policy Face Amount.
CoverageBenefit.yaml|effectiveDate|string|The effective date of this benefit.
CoverageBenefit.yaml|expirationDate|string,null|The date at which this benefit expires.
Email.yaml|emailAddress|string|null
Email.yaml|emailAddressType|string|Exceed email code valuesLossHistory.yaml|description|string|A description of the lossLossHistory.yaml|date|string|The date the loss occurredLossHistory.yaml|amount|number|The amount of the lossOther.yaml|description|string|A description of this item type.Other.yaml|classification|string|Classification of the item.  E.g. 'Camera-Non Prof', 'Boat 2015'.Other.yaml|sequence|string,null|If this other item is tied to an additional interest on a policy, the sequence is used to tie this item to a PolicyAssociation.
Other.yaml|detail|string|A detailed itemization of the item.  E.g. 'Nikon D500 Camera', 'Bass-Pro'.
Other.yaml|itemSchedules|[object Object]|A generic schedule to list miscellaneous details for this item.
Other.yaml|deductibles|array|null
Other.yaml|limits|array|null
Other.yaml|premium|number|null
Phone.yaml|phoneNumber|string|The phone number in the ITU-T E.164.1 Format,
Phone.yaml|phoneType|null|These enumerations are sourced from Exceed Client
Phone.yaml|phoneTypeCode|string|null
Interest.yaml|rootId|string|The id of the source object.
Interest.yaml|rootType|string|The type of the root object.
Interest.yaml|rootTypeCode|string,null|The type code of the root object.
Interest.yaml|childId|string|The id of the target object
Interest.yaml|childType|string|The type of the target object.
Interest.yaml|childTypeCode|string,null|The type code of the target object.
Interest.yaml|relationshipType|string|The relationship between the root and target object.
Interest.yaml|relationshipTypeCode|string,null|The code for the relationship between the root and target object.
Interest.yaml|effectiveDate|string|null
Interest.yaml|expirationDate|string,null|null
Interest.yaml|address|null|null
Agent.yaml|id|string|null
Agent.yaml|agentName|string|null
Agent.yaml|title|string,null|null
Agent.yaml|phoneNumber|null|null
Agent.yaml|faxNumber|string,null|null
Agent.yaml|emailAddress|string,null|null
Agent.yaml|address|array|null
Agent.yaml|biography|string,null|null
Agent.yaml|agencyManagerId|string,null|null
Agent.yaml|agencyManagerName|string,null|null
Client.yaml|id|string|A unique identifier for the clientClient.yaml|sourceSystemType|string,null|The type of client as recorded on the source system.  Note: either #.sourceSystemType or 
#.sourceSystemTypeCode is required.
Client.yaml|sourceSystemTypeCode|string,null|The type code of client as recorded on the source system. Note: either #.sourceSystemType
or #.sourceSystemTypeCode is required.
Client.yaml|name|string,null|A display-formatted name of the individual or business for this Client.  For an organization, this is
the legal name of the organization.  For an individual, this would be the `concatenated` name, which is
stored on the system.  If the individual's name is to be modeled as name components, use the #.personName
property.
Client.yaml|personName|null|null
Client.yaml|phoneNumbers|array|null
Client.yaml|emailAddresses|array|null
Client.yaml|taxId|string,null|This is a government assigned identifier.  In the US, this is either the Tax ID Number (TIN) for a business
or the Social Security Number (SSN) for and individual.
Client.yaml|addresses|array|null
Client.yaml|preferences|object|A schemaless object key/value pairs representing Client preferences
This is used for configuring contact preferences.
Client.yaml|demographics|null|null
YesNoChoice.yaml|choice|string|The business concept for which this choice applies.
YesNoChoice.yaml|state|boolean|A boolean (true/false).  True indicates that the concept represented by the choice property
is selected or present.  False indicates the opposite.
InsuredItem.yaml|coverages|array|null
InsuredItem.yaml|discounts|array|null
InsuredItem.yaml|lossHistory|array|null
InsuredItem.yaml|limits|array|null
InsuredItem.yaml|itemType|null|Property itemDetails will be a defined model of type itemType.  NOte:  itemType other is deprecated and should not be used in new APIs.
InsuredItem.yaml|itemDetails|object|The instance of itemType (which is another Model).
CoverageDetail-Life.yaml|issueAge|number|The age of the insurred at issue
CoverageDetail-Life.yaml|coverageType|string|The type of coverage this is (i.e. base).
CoverageDetail-Life.yaml|coverageBenefits|array|Models specific benefits to the CoverageDetail-Life, which are usually additional premium and modify the owning coverage.
CoverageDetail-Life.yaml|guidelineAnnualPremium|number,null|The annual premium level above which the contract becomes a Modified Endowment Contract.
CoverageDetail-Life.yaml|deathBenefitOption|string,null|Option chosen for this contract which would affect the death proceeds- i.e. increasing- level
CoverageDetail-Life.yaml|termLevelYears|number,null|The duration at which the death benefit stops decreasing and remains level.
CoverageDetail-Life.yaml|rateClassification|string,null|Underwriting rateClassification.
CoverageDetail-Life.yaml|tableRating|string,null|The permanent table rating used.
CoverageDetail-Life.yaml|tableRatingPremiumAmount|number,null|The amount of premium due to the table rating.
CoverageDetail-Life.yaml|flatRatingPremiumAmount|number,null|The amount of premium due to the flat rating.
CoverageDetail-Life.yaml|faceAmount|number|The current contractual amount of death benefit for this coverage.
CoverageDetail-Life.yaml|annualPremium|number|The annual premium for this coverage.
CoverageDetail-Life.yaml|effectiveDate|string|The date upon which this coverage is effective.
CoverageDetail-Life.yaml|expirationDate|string|The date upon which this coverage terminates.
CoverageDetail-Life.yaml|interestCredited|number,null|The interest credited on this policy.
CoverageDetail-Life.yaml|termInterestRate|number,null|The interest rate at which the face amount is commuted.
ClientAccount.yaml|id|string|The unique identifier for the ClientAccountClientAccount.yaml|accountNumber|string|The Client Account number that is displayed.ClientAccount.yaml|accountName|string|The name given to the account by the client.
Defaults to the head of household's last name.
ClientAccount.yaml|contactName|string,null|Name of the primary contact for the Client Account.
Defaults to the "Head of Household" Client.
ClientAccount.yaml|address|null|null
ClientAccount.yaml|phoneNumber|null|null
ClientAccount.yaml|agentId|string|The id of the agent associated with the account.
ClientAccount.yaml|agentName|string|null
ClientAccount.yaml|relatedClients|array|Array of objects containing relatedClients associated to ClientAccount
Discount.yaml|name|string|The label of the discount
Discount.yaml|description|string|The description or value of the discount
Discount.yaml|appliedDate|string|The date the modifier was first applied
Deductible.yaml|name|string|The name of the deductibleDeductible.yaml|value|number|The value of the deductible.  May be either a percent or dollar amount.NonForfeiture-Life.yaml|reducedPaidUpAmount|number|unknown.NonForfeiture-Life.yaml|extendedTermInsuranceAmount|number|unknown.NonForfeiture-Life.yaml|extendedTermInsuranceExpirationDate|string|unknown.Demographics.yaml|gender|string,null|The gender of the client, if known.  Either #/gender or #/genderCode is required.
Demographics.yaml|genderCode|string,null|The system code representing the gender. Either #/gender or #/genderCode is required.
Demographics.yaml|maritalStatus|string,null|A textual representation of the marital status. Either #/maritalStatus or #/maritalStatusCode is required.
Demographics.yaml|maritalStatusCode|string,null|The system code representing the marital status. Either #/maritalStatus or #/maritalStatusCode is required.
Demographics.yaml|dateOfBirth|string|The date of birth.
Demographics.yaml|dateOfDeath|string,null|The date of death.
Demographics.yaml|driversLicenseState|string,null|null
Demographics.yaml|driversLicenseNumber|string,null|null
Location.yaml|id|string|The sequence or unit number. This is only valid in the context of the transaction. Refer to the description property for a
persistent identifier.
Location.yaml|address|null|null
Location.yaml|acres|number|(Farm) The number of acres at this locationPayout.yaml|originatingPolicyNumber|string|The policy number of contract which is the source of funding for this payout.
Payout.yaml|payoutAmount|number|The amount of the repetative payout.
Payout.yaml|paymentMode|string|The mode or frequency at which the repetative payment amount (#.payoutAmount) is made.
Payout.yaml|nextPaymentDate|number|The date of the next expected payment (based on #.paymentMode and #.paymentAmount).
Payout.yaml|lastPaymentDate|number|The date of the last payment made on this contract.
FleetDriver.yaml|name|string|The name of the fleet driver.FleetDriver.yaml|licenseNumber|string|null
FleetDriver.yaml|isCommercialLicense|string|Indicator that the driver holds an commerical endorsement for the
license identified by the licenseNumber above.
FleetDriver.yaml|dateOfBirth|string|null
FleetDriver.yaml|licenseState|string|Two letter state USPS code for the issuing state.FleetDriver.yaml|licenseDate|string|The date of issue for the license referenced.FleetDriver.yaml|yearOfHire|string|null
PolicyAssociation.yaml|detailPart|string|For policies which contain multiple policy detail parts, this field relates this policy association to the correct detail part.
PolicyAssociation.yaml|clientId|string|The client id from the the client record-keeping system.
PolicyAssociation.yaml|locationId|string|If the association is tied to a specific location, this refers to the Location.Id property.
PolicyAssociation.yaml|item|string|An arbitrary, system assigned item number within the location dicriminates this structure on a location with multiple structures.
PolicyAssociation.yaml|unit|number|An arbitrary, system assigned unit number which relates this association to a specific vehicle in a fleet of vehicles.
PolicyAssociation.yaml|coverageCode|string,null|If this PolicyAssociation is related to a coverage, this field indicates which coverageCode (also a property of Coverage) this relationship.  If this field is non-null, then sequence should also be valued.
PolicyAssociation.yaml|sequence|string,null|If this PolicyAssociation is related to a coverage, this field indicates which sequence in a single coverageCode to which this association applies. If coverageCode is non-null, this field should also be valued.  Conversely if coverageCode is null, this field should likewise be null.
PolicyAssociation.yaml|name|string|null
PolicyAssociation.yaml|address|null|null
PolicyAssociation.yaml|referenceData|string|Reference information for this association.  The data in this field could represent a loan number or case number in the case of assignee or a policy interest.  It could represent the percentage split for a Beneficiary (Life).
PolicyAssociation.yaml|associationType|string|Description of the type of association.  Either associationType or associationTypeCode should be valued.
PolicyAssociation.yaml|associationTypeCode|string|Descriptive code for the type of association. Either associationType or associationTypeCode should be valued.
PolicyAssociation.yaml|associationSubType|string,null|Further describes the association to the policy.  In the case of Beneficiary (Life), describes the Beneficiary type:  Primary or Contingent.
PolicyAssociation.yaml|associationRelationship|string,null|This field is used to describe the relationship of the object in this association to the parent Policy or Policy Detail model.
PolicyAssociation.yaml|demographics|null|null
PolicyDetail-Commercial.yaml|detailPart|null|the insurance lines for which this model applies.PolicyDetail-Commercial.yaml|coverages|array|null
PolicyDetail-Commercial.yaml|insuredItems|array|If the policy covers a unit or location, details for it
(plus any additional coverages) are listed as InsuredItems.
PolicyDetail-Commercial.yaml|fleetDrivers|array|null
PolicyDetail-Commercial.yaml|federalEmployerIdNumber|string|A unique nine-digit number assigned by the Internal Revenue Service (IRS) to business entities operating in the United States for the purposes of identification.
PolicyDetail-Commercial.yaml|legalId|string|An id used to legally identify an entity.
Policy.yaml|id|string|The policy ID is a globally unique id. This could be a GUID or a composite of system information and policy number but in the latter case MUST not be used to infer information about the policy.
Policy.yaml|transactionId|string,null|A transaction, or session key, provided by the source system during a multi-step business process.  The key is needed by subsequent operations to complete the desired processing.
Policy.yaml|businessPurposeTypeCode|string,null|A code indicating the business event being submitted in this message.
Policy.yaml|transactionRequestDate|string,null|The date the transaction was requested.
Policy.yaml|transactionEffectiveDate|string,null|The date the transaction is effective.
